categories,counts
,6759
in Children's Friendship Books,1051
in Children's Fantasy & Magic Books,845
in Children's Action & Adventure Books (Books),775
"in Children's Mystery, Detective, & Spy",355
in Children's Siblings Books (Books),242
in Children's Humor,224
in Children's School Issues,206
in Children's Spine-Chilling Horror,201
in Children's Fiction on Social Situations,190
in Children's Self-Esteem Books,187
in Children's Books on Girls' & Women's Issues,181
in Children's Multigenerational Family Life,172
in Children's Parents Books,172
in Children's Books on Emotions & Feelings (Books),163
in Children's Books on Death & Dying,156
in Children's Family Life Books (Books),128
in Children's Books on Bullying,124
in Children's New Experiences Books,116
in Children's 1900s American Historical Fiction,113
in Children's Black & African American Story Books,112
in Children's Books on Disabilities,106
in Children's Dog Books (Books),105
in Children's Books on Prejudice & Racism,95
in Children's Performing Arts Fiction,89
in Children's Chapter Books (Books),78
"in Children's Dragon, Unicorn & Mythical Stories",76
in Children's Folk Tales & Myths (Books),71
in Children's Science Fiction Books (Books),69
in Children's Hispanic & Latino Books,68
in Children's Humorous Comics & Graphic Novels,68
in Children's Books on Orphans & Foster Homes,67
in Children's Environment Books (Books),66
in Children's Asian & Asian American Books,63
in Children's Books on Friendship,63
in Children's Fantasy & Magic Adventure,63
in Children's Books on Marriage & Divorce,56
in Children's Military Fiction (Books),55
in Children's Action & Adventure Comics & Graphic Novels,51
in Children's Books on LGBTQ+ Families,48
in Children's Books on Diseases & Physical Illness,46
in Children's Books on Boys' & Men's Issues,45
in Children,43
in Children's European Historical Fiction (Books),43
in Children's Siblings Books (Kindle Store),41
in Children's Country Life Books,40
in Children's Sword & Sorcery Fantasy Books,40
in Children's Fantasy Comics & Graphic Novels,38
in Children's Science & Nature Books,38
in Children's 1800s American Historical Fiction,37
s Books about Libraries & Reading,37
in Children's Historical Fiction (Books),36
in Children's Superhero Fiction,36
in Children's Time Travel Fiction,35
in Children's Books on Bullies,34
in Children's Homelessness & Poverty Books (Books),34
"in Children's Paranormal, Occult & Supernatural Books",33
in Children's Asia Books,32
in Children's Humorous Literature,30
in Children's Pet Books (Books),30
in Children's Cat Books (Books),29
"in Children's eBooks on Death, Grief & Bereavement",29
in Children's Parent Books,29
in Children's Scary Stories,28
in Children's Asian Literature,27
in Children's Jewish Fiction Books,27
in Children's Literature (Books),27
in Children's Mystery & Detective Adventure,27
in Children's New Family Experiences Books,27
in Children's Royalty Books (Books),27
in Children's Stepfamilies Books,27
in Children's Values Books,27
in Children's Bird Books (Books),26
in Children's Books on Peer Pressure (Books),26
in Children's Native American Books,26
in Children's Detectives Books,25
in Children's Fantasy & Supernatural Mystery Books,25
"in Stories in Verse',",25
in Children's Animals Books,24
in Children's Baseball Books (Books),24
in Children's Comics & Graphic Novels (Books),24
in Children's Issues in School Books,24
in Children's Babysitting Books,23
in Children's Fox & Wolf Books (Books),23
in Children's Horse Books (Books),23
in Children's Humorous Action & Adventure,23
in Children's Marine Life Books,23
in Children's Dystopian Fiction Books,21
in LGBTQ+ Books'],21
in Children's Action & Adventure Sci-Fi Books,20
in Children's Basketball Books (Books),20
in Children's Time Travel Books,20
in Children's Robot Fiction Books,19
in Stories in Verse'],19
in Children's Art Fiction,18
in Children's eBooks on Girls' & Women's Issues,18
in Children's Family Life Books (Kindle Store),18
in Children's Historical Action & Adventure,18
in Children's Mouse & Rodent Books,18
in Children's Self-Esteem & Self-Respect,18
in Children's 1900s US Historical Fiction,17
in Children's Latin American Folk Tale Books,17
in Children's Multigenerational Families,17
in Children's City Life Books,16
in Children's Coming of Age Fantasy Books,16
in Children's Greek & Roman Books,16
in Children's Jobs & Careers Reference Books,16
in Children's Marriage & Divorce Books,16
in Children's Orphans & Foster Homes Books,16
in Children's Recycling & Green Living Books,16
in Children's Travel Books (Books),16
in Disaster Books for Children,16
in Children's Holocaust Fiction Books (Books),15
in Children's Middle East Books,15
in Children's Books on Abuse,14
in Children's Books on the U.S.,14
in Children's Central & South America Books,14
in Teen & Young Adult Friendship Fiction,14
in Children's Animal Comics & Graphic Novels,13
in Children's Bear Books (Books),13
in Children's Books (Books),13
in Children's Books on Adoption,13
in Children's Books on Runaways,13
in Children's Folk Tales & Myths (Kindle Store),13
in Children's Nature Books (Books),13
in Children's Science Fiction Comics & Graphic Novels,13
in Children's Short Story Collections,13
in Children's Boats & Ships Books (Books),12
in Children's Christian Family Fiction,12
in Children's Computers & Technology Books,12
in Children's Sports & Outdoors Books (Books),12
in Children's Steampunk Books,12
in Children's Water Sports Books (Books),12
in Children's African Folk Tales (Books),11
in Children's Ancient Civilization Fiction (Books),11
in Children's Books on Drugs & Substance Abuse,11
in Children's Christian Action & Adventure Fiction,11
in Children's Christmas Books (Books),11
in Children's Classics,11
"in Children's Fairy Tales, Folklore, Legends & Mythology Comics & Graphic Novels",11
in Children's Farm Life Books,11
in Children's Mystery & Detectives Books,11
in Children's Pirate Action & Adventure,11
"in Fantasy Manga (Books)',",11
in Stories in Verse,11
in Children's Animal Action & Adventure,10
in Children's Boys & Men Books,10
in Children's Dog Books (Kindle Store),10
in Children's Farm Animal Books (Books),10
in Children's Superhero Comics,10
in Children's Survival Story eBooks,10
in Children's Technology Fiction,10
in Teen & Young Adult Fiction on Girls' & Women's Issues (Books),10
in Teen & Young Adult Mysteries & Detective Stories,10
in Children's Activity Books (Books),9
in Children's Books on Emotions & Feelings (Kindle Store),9
in Children's Bug & Spider Books (Books),9
in Children's Dinosaur Books (Books),9
in Children's Dystopian Sci-Fi Books,9
in Children's eBooks (Kindle Store),9
in Children's Europe Books,9
in Children's Historical Fiction (Kindle Store),9
in Children's Mexico Books,9
in Children's Military Fiction (Kindle Store),9
in Children's Performing Arts Books (Books),9
in Children's Science Fiction Books (Kindle Store),9
in Fantasy Manga (Books)'],9
"in Censorship & Politics',",8
in Children's Action & Adventure Literature,8
in Children's Arthurian Folk Tales & Myths,8
in Children's eBooks on Disability,8
in Children's European Historical Fiction (Kindle Store),8
in Children's Football Books (Books),8
in Children's Jewish Fiction,8
in Children's Judaism Books (Kindle Store),8
in Children's Medieval Fiction Books (Books),8
in Children's Multicultural Literature,8
in Children's New Baby Books,8
in Children's Spy Books,8
in Children's Western American Historical Fiction,8
in Children's Zoo Books (Books),8
in Graphic Novels (Books)'],8
in Children's Africa Books,7
in Children's Boats & Ships Books (Kindle Store),7
in Children's Chapter Books (Kindle Store),7
in Children's Dance Books (Books),7
in Children's Dragon Stories,7
in Children's Exploration Fiction,7
in Children's Fantasy Books,7
in Children's Film Books (Kindle Store),7
in Children's Growing Up & Facts of Life Books (Books),7
in Children's Interactive Adventures,7
in Children's Mammal Books (Books),7
in Children's Mystery & Detective Comics & Graphic Novels,7
in Children's Norse Literature,7
in Children's Prejudice & Racism books,7
in Children's Track & Field Books,7
in Teen & Young Adult 20th Century United States Historical Fiction,7
in Teen & Young Adult Family Fiction,7
in Teen & Young Adult Fiction about Emotions & Feelings,7
"in Anxiety Disorders (Books)',",6
in Censorship & Politics,6
in Children's Bird Books (Kindle Store),6
in Children's Books on Violence,6
in Children's Cars & Trucks Books (Books),6
in Children's Elephant Books (Books),6
in Children's Explore Asia Fiction,6
in Children's Homelessness & Poverty Books (Kindle Store),6
in Children's Literature (Kindle Store),6
in Children's Mermaid Folk Tales & Myths,6
in Children's Muslim Fiction,6
in Children's Pig Books (Books),6
in Fantasy Manga (Books),6
in Lawyers & Criminals Humor,6
in Science Fiction Manga (Books)'],6
in Teen & Young Adult Coming of Age Fiction,6
in Children's American Historical Fiction (Books),5
in Children's Asia & Asia America Stories,5
in Children's Biographies (Books),5
in Children's Biography Comics,5
in Children's Books on Country Life,5
in Children's Christian Mysteries & Detective Stories,5
in Children's Christmas Books (Kindle Store),5
in Children's Colonial American Historical Fiction,5
in Children's Disease Books,5
in Children's Environment Books (Kindle Store),5
in Children's European Biographies (Books),5
in Children's Explorer Historical Fiction,5
in Children's Imagination & Play Fiction,5
in Children's Intermediate Readers,5
"in Children's Lion, Tiger & Leopard Books (Books)",5
in Children's Rabbit Books (Books),5
in Children's Royalty Books (Kindle Store),5
in Children's Weather Books (Books),5
in Humorous Fiction,5
in Short Stories Anthologies'],5
in Teen & Young Adult Fantasy,5
in Teen & Young Adult Mystery & Thriller Action & Adventure,5
in Teen & Young Adult Parents Fiction,5
in Teen & Young Adult Science Fiction Action & Adventure,5
in Teen & Young Adult Social Issues,5
in Teen & Young Adult Wizards & Witches Fantasy,5
in Anxiety Disorders (Books),4
in Children's 1800s US Historical Fiction,4
in Children's Animal Stories,4
in Children's Books on Farm Life,4
in Children's Career Books,4
in Children's Christian Friendship Fiction,4
in Children's Christian Values Fiction,4
in Children's Drama & Theater Books,4
in Children's eBooks on Adoption,4
in Children's Europe & Russia Fiction,4
in Children's Explore United States Fiction,4
in Children's Game Books (Books),4
in Children's Greek & Roman Myths,4
in Children's Music Books (Kindle Store),4
in Children's Non-religious Holiday Books,4
in Children's Pet Books (Kindle Store),4
in Children's Poetry (Books),4
in Children's Runaway Books,4
in Children's Science & Nature,4
in Children's Trains Books (Books),4
"in Graphic Novels (Books)',",4
in Humorous Fiction'],4
in Hunting & Fishing Humor,4
in Nursery Rhymes,4
in Teen & Young Adult Action & Adventure,4
in Teen & Young Adult Detective Story eBooks,4
in Teen & Young Adult Fantasy Action & Adventure,4
in Teen & Young Adult Fiction about Emigration & Immigration,4
in Teen & Young Adult Fiction about Self Esteem & Reliance,4
in Teen & Young Adult Siblings Fiction,4
in Teen & Young Adult Sword & Sorcery Fantasy,4
in Children's Aliens Books,3
in Children's American Folk Tales & Myths,3
in Children's Australia & Oceania Books,3
in Children's Black & African American Stories,3
"in Children's Books about Libraries & Reading',",3
in Children's Books on Health,3
in Children's Books on Peer Pressure (Kindle Store),3
in Children's Canadian History,3
in Children's Cat Books (Kindle Store),3
in Children's Christian Books (Kindle Store),3
in Children's Christian Emotions & Feelings Fiction,3
in Children's Classic Adaptation Comics & Graphic Novels,3
in Children's Cooking Books,3
in Children's Environment & Ecology Books (Kindle Store),3
in Children's Football Books (Kindle Store),3
in Children's Halloween Books (Books),3
in Children's Holocaust Fiction Books (Kindle Store),3
in Children's Martial Arts Books (Books),3
in Children's Military Books,3
in Children's Multicultural Biographies,3
in Children's Multicultural Folk Tales,3
in Children's Native American Stories,3
in Children's Nature Books (Kindle Store),3
in Children's Non-religious Books,3
in Children's Norse Folk Tales,3
in Children's Prehistory Fiction,3
in Children's Social Skills,3
in Children's Sports & Outdoors Books (Kindle Store),3
in Children's Turtle Books,3
in Children's United States Biographies (Books),3
in Children's US Western Historical Fiction,3
in Children's Winter Sports Books (Books),3
"in Disaster Books for Children',",3
in Epilepsy,3
in General England Travel Guides,3
in Poetry for Teens & Young Adults,3
in Self-Help & Psychology Humor,3
in Teen & Young Adult Comics & Graphic Novels (Books),3
in Teen & Young Adult Fiction about Death & Dying,3
in Teen & Young Adult Fiction about Parents,3
in Teen & Young Adult Fiction on Boys' & Men's Issues (Books),3
in Teen & Young Adult Fiction on Bullying (Books),3
in Teen & Young Adult Fiction on Disabilities (Books),3
in Teen & Young Adult Humorous Fiction,3
in Teen & Young Adult Magical Realism Fiction,3
in Teen & Young Adult Military Historical Fiction,3
in Teen & Young Adult Nature & the Natural World Fiction eBooks,3
in Baby & Toddler Nursery Rhyme Books,2
"in Children & Teens Christian Education',",2
in Children's Abuse books,2
"in Children's Action & Adventure Comics & Graphic Novels',",2
in Children's Ape & Monkey Books (Books),2
in Children's Arthurian Folk Tales,2
in Children's Asian Folk Tales,2
in Children's Australia & Oceania Fiction,2
in Children's Aviation Books,2
in Children's Baseball Books (Kindle Store),2
in Children's Blended Families Books,2
in Children's Books about Libraries & Reading'],2
in Children's Books on City Life,2
in Children's Books on Difficult Discussions,2
in Children's Books on Maturing,2
in Children's Books on Values,2
in Children's Bug & Spider Books (Kindle Store),2
in Children's Camping Books (Books),2
in Children's Christian Humor Fiction,2
in Children's Christian Relationship Fiction,2
in Children's Colonial US Historical Fiction,2
in Children's Computer & Technology Books,2
in Children's Dinosaur Books (Kindle Store),2
in Children's eBooks on Drug Use,2
in Children's European Biographies (Kindle Store),2
in Children's Exploration Books,2
in Children's Explore Africa Fiction,2
in Children's Fish Books (Books),2
in Children's Folk Tale & Myth Anthologies,2
in Children's Frog & Toad Books,2
in Children's Hispanic & Latino Stories,2
in Children's Horse Books (Kindle Store),2
"in Children's Humorous Comics & Graphic Novels',",2
in Children's Interactive Adventure eBooks,2
in Children's Intermediate Readers Books,2
in Children's Jobs & Careers Books,2
in Children's Latin America Fiction,2
in Children's Math Fiction,2
in Children's Mice & Small Animal Stories,2
in Children's Personal Hygiene Books (Kindle Store),2
in Children's Pig Books (Kindle Store),2
in Children's Planes & Aviation Books,2
in Children's Polar Regions Books,2
in Children's Popular Culture Literature,2
in Children's Religious Holiday Books,2
in Children's Safety Books (Books),2
in Children's Trains Books (Kindle Store),2
in Children's Travel Books (Kindle Store),2
in Children's Weather Books (Kindle Store),2
"in Comedic Dramas & Plays',",2
in Coming of Age Fantasy eBooks,2
in Coming of Age Fiction (Kindle Store)'],2
in DC Comics & Graphic Novels,2
"in DC Comics & Graphic Novels', 'in Science Fiction Manga (Books)']",2
in Doctors & Medicine Humor,2
in Horror Manga (Books),2
"in Humorous Fiction',",2
"in Lawyers & Criminals Humor',",2
in Lawyers & Criminals Humor'],2
in Literary Fiction (Books)'],2
