categories,counts
in Mystery Writing Reference,2
"in Mystery, Thriller & Crime Manga",2
in Paranormal & Urban Fantasy (Kindle Store),2
in Science Fiction Manga (Books),2
"in Science Fiction Manga (Books)',",2
in Sports Humor,2
in Teen & Young Adult 20th Century United States History,2
in Teen & Young Adult Asian Historical Fiction,2
in Teen & Young Adult Christian Mysteries & Thrillers,2
in Teen & Young Adult Coming of Age Fantasy,2
in Teen & Young Adult Contemporary Romance,2
in Teen & Young Adult Contemporary Romance eBooks,2
in Teen & Young Adult Country & Ethnic Fairy Tales & Folklore,2
in Teen & Young Adult Dystopian'],2
in Teen & Young Adult Emigration & Immigration Fiction eBooks,2
in Teen & Young Adult Emotions & Feelings Fiction eBooks,2
in Teen & Young Adult European Historical Fiction,2
in Teen & Young Adult Fairy Tales & Folklore,2
in Teen & Young Adult Fiction about Friendship,2
in Teen & Young Adult Fiction about Self-Esteem,2
in Teen & Young Adult Fiction about Siblings,2
in Teen & Young Adult Fiction about Values & Virtues (Books),2
in Teen & Young Adult Fiction on Depression & Mental Health (Books),2
in Teen & Young Adult Fiction on Girls' & Women's Issues (Kindle Store),2
in Teen & Young Adult Fiction on Prejudice & Racism,2
in Teen & Young Adult Historical Fantasy eBooks,2
in Teen & Young Adult Historical Fiction eBooks'],2
in Teen & Young Adult Historical Mysteries & Thrillers,2
in Teen & Young Adult History eBooks,2
in Teen & Young Adult Holocaust Historical Fiction,2
in Teen & Young Adult Horror,2
in Teen & Young Adult Humorous eBooks,2
in Teen & Young Adult LGBTQ+ Fiction (Books),2
in Teen & Young Adult Literature & Fiction eBooks,2
in Teen & Young Adult Multigenerational Family Fiction,2
in Teen & Young Adult Music Fiction,2
in Teen & Young Adult Myths & Legends,2
in Teen & Young Adult Sci-Fi Action & Adventure eBooks,2
in Teen & Young Adult Stepfamily Fiction,2
in Teen & Young Adult Survival Stories,2
in Teen & Young Adult Time Travel Fiction,2
in Young Adult Romance Comics & Graphic Novels,2
"s Fairy Tales, Folk Tales & Myths Comics & Graphic Novels",2
in 90-Minute Teen & Young Adult Short Reads,1
in Action & Adventure Fantasy (Kindle Store),1
in Action & Adventure Fiction (Books),1
in Afghanistan Travel Guides,1
in Alternative & Renewable Energy,1
in Alzheimer's Disease,1
in Ancient & Classical Poetry,1
in Anxiety Disorders (Books)'],1
in Asian Literature (Books)'],1
in Asian Myth & Legend,1
in Assassination Thrillers (Books),1
"in Authorship Reference', 'in Writing Reference']",1
in Baby & Toddler Bedtime & Dreaming Books,1
"in Baby & Toddler Bedtime & Dreaming Books',",1
in Being a Teen,1
in Biology of Reptiles & Amphibians'],1
in Bird Watching (Books),1
in Breast Cancer (Books),1
in Business Travel Reference (Books),1
in Canadian National Parks Travel Guides,1
"in Cat, Dog & Animal Humor', 'in Humorous Fiction']",1
in Censorship & Politics'],1
in Children's African Folk Tales (Kindle Store),1
in Children's African History Fiction,1
in Children's Alligator & Crocodile Books (Books),1
in Children's Almanacs (Books),1
in Children's American Historical Fiction (Kindle Store),1
in Children's American History of 1800s,1
in Children's American History of 1900s,1
in Children's Ancient Civilization Fiction (Kindle Store),1
in Children's Ape & Monkey Books (Kindle Store),1
in Children's Asian History,1
in Children's Baby Animal Books,1
in Children's Basketball Books (Kindle Store),1
in Children's Books about Birthdays,1
in Children's Books on Immigration (Books),1
"in Children's Books',",1
in Children's Canada Books,1
in Children's Cartoon Books,1
in Children's Cartoon Humor Books,1
in Children's Christian Baptism Books,1
in Children's Christian Early Readers Fiction,1
in Children's Christian Historical Fiction,1
in Children's Christian Prayer Books (Books),1
in Children's Classic Literature,1
in Children's Comics & Graphic Novels (Kindle Store),1
in Children's Composition & Creative Writing Books,1
in Children's Cookbooks,1
in Children's Criticism & Collections,1
in Children's Dance Books (Kindle Store),1
in Children's Devotional Christianity Books,1
in Children's Diversity & Multicultural eBooks,1
in Children's Duck Books (Books),1
in Children's Earth Sciences Books (Books),1
in Children's eBooks on New Babies,1
in Children's Environment & Ecology Books (Books),1
in Children's European History,1
in Children's Explore Canada Fiction,1
in Children's Explore the World Books (Books),1
in Children's Explore the World Fiction,1
in Children's Fantasy Comics & Graphic Novels'],1
in Children's Farm Animal Books (Kindle Store),1
in Children's Fictional Biographies,1
in Children's Folklore & Mythology Books,1
in Children's Fox Books,1
in Children's Friendship & Social Skills Books (Books),1
in Children's General Humor Books,1
in Children's Government Books,1
in Children's Halloween Books (Kindle Store),1
in Children's Hindu Fiction,1
in Children's Historical Biographies (Books),1
in Children's History,1
in Children's History Books,1
in Children's History Comics,1
in Children's Holocaust Books,1
in Children's How Things Work Books (Books),1
in Children's in Spanish,1
in Children's Inventors Books (Books),1
in Children's Jewish Books,1
in Children's Judaism Books (Books),1
in Children's Literary Biographies (Books),1
in Children's Manga (Books),1
in Children's Math Books (Kindle Store),1
in Children's Mermaid eBooks,1
in Children's Multicultural Story Books,1
in Children's Mystery & Wonders Books (Books),1
in Children's Nonfiction Family Life Books,1
in Children's Performing Arts Books (Kindle Store),1
in Children's Pirate Books,1
in Children's Prehistoric Books (Kindle Store),1
in Children's Renaissance Fiction Books (Books),1
in Children's Science Experiment Books,1
in Children's Short Stories,1
in Children's Sleep Issues,1
in Children's Soccer Books (Kindle Store),1
in Children's Social Activists Biographies (Books),1
in Children's Sports Biographies (Books),1
in Children's Stories About Toys,1
in Children's Superhero Action & Adventure,1
in Children's Superhero Books,1
in Children's United States Biographies (Kindle Store),1
in Children's United States Folk Tales,1
in Children's US Presidents & First Ladies Biographies,1
in Children's Valentine's Day Books (Books),1
in Children's Valentine's Day Books (Kindle Store),1
in Children's Violence Books,1
in Children's Water Sports Books (Kindle Store),1
in Children's Women Biographies (Books),1
in Chile Travel Guides,1
in Christian Fantasy (Books),1
in Christian Fiction (Kindle Store),1
in Coming of Age Fantasy (Books),1
in Coming of Age Fiction (Kindle Store),1
in Computers & Internet Humor,1
in Contemporary Christian Fiction (Kindle Store),1
in Contemporary Women Graphic Novels (Books),1
in Conversation Etiquette Guides,1
in Cozy Animal Mysteries'],1
in Dark Humor,1
"in DC Comics & Graphic Novels',",1
in Dystopian Fiction (Books),1
in Epic Fantasy (Books)'],1
in Extended Families,1
in Fantasy (Kindle Store)'],1
in Fiction Satire'],1
in Folklore (Books),1
"in French Cooking, Food & Wine",1
in Gambling (Books),1
in Gardening & Horticulture Reference (Books),1
in Gardening Encyclopedias,1
in General Broadcasting (Books),1
in General Cuba Travel Guides,1
in General England Travel Guides'],1
in Ghost Fiction,1
in Graphic Novels (Books),1
in Graphic Novels (Kindle Store),1
"in Health, Fitness & Dieting (Books)']",1
in Historical Fantasy (Kindle Store),1
in Historical Thrillers (Books),1
in Horse Racing (Books),1
in Humorous Graphic Novels (Books),1
in International Mystery & Crime (Kindle Store),1
in Kindle eBooks'],1
in Literary Fiction (Books),1
"in Literary Graphic Novels (Books)',",1
in Literature,1
in Literature & Fiction (Books),1
in Literature & Fiction (Books)'],1
in Literature & Fiction (Kindle Store),1
in Magical Realism,1
in Magical Realism'],1
in Marvel Comics & Graphic Novels (Books),1
in Math Games,1
"in Mystery Graphic Novels', 'in Science Fiction Graphic Novels (Books)']",1
"in Mythology & Folklore Encyclopedias',",1
in Other Children's Religious Fiction,1
in Paranormal & Urban Fantasy (Books),1
in Parenting & Relationships (Kindle Store),1
in Police Procedurals (Kindle Store),1
in Potato Cooking,1
in Psychological Literary Fiction,1
"in Psychological Literary Fiction', 'in Mystery, Thriller & Suspense Literary Fiction']",1
in Puns & Wordplay,1
"in Puns & Wordplay',",1
in Read & Listen for Less'],1
in Reference (Books)'],1
in Religious Leader Biographies,1
in Religious Science Fiction & Fantasy (Kindle Store),1
"in Role Playing & Fantasy Games', 'in Coming of Age Fantasy eBooks']",1
in Romance Fiction Writing Reference,1
in Schools & Teaching (Books)'],1
in Science Fiction (Books),1
"in Self-Help & Psychology Humor',",1
in Serial Killer Thrillers,1
"in Short Stories Anthologies',",1
in Short Stories in Teen & Young Adult Literature,1
in Superhero Comics & Graphic Novels,1
"in Suspense Thrillers', 'in Literature & Fiction (Books)']",1
in Sword & Sorcery Fantasy (Books),1
in Teen & Young Adult 19th Century United States Historical Fiction,1
in Teen & Young Adult Alien Science Fiction,1
in Teen & Young Adult Alternative Family Fiction,1
in Teen & Young Adult Art Fiction,1
in Teen & Young Adult Art Fiction eBooks,1
"in Teen & Young Adult Art, Music & Photography",1
in Teen & Young Adult Asian Geography & Cultures Fiction eBooks,1
in Teen & Young Adult Australian Geography & Cultures Fiction eBooks,1
in Teen & Young Adult Basketball,1
in Teen & Young Adult Biographical Fiction,1
in Teen & Young Adult Biography Comics,1
in Teen & Young Adult Books,1
in Teen & Young Adult Books'],1
in Teen & Young Adult Christian Family Fiction,1
in Teen & Young Adult Christian Fantasy,1
in Teen & Young Adult Christian Fiction,1
in Teen & Young Adult Christian Friendship Fiction,1
in Teen & Young Adult Christian Social Issue Fiction,1
in Teen & Young Adult Clean & Wholesome Romance eBooks,1
in Teen & Young Adult Coming of Age Fantasy eBooks,1
in Teen & Young Adult Coming of Age Fantasy'],1
in Teen & Young Adult Coming of Age Fiction eBooks,1
"in Teen & Young Adult Diseases, Illnesses & Injuries Fiction eBooks",1
in Teen & Young Adult eBooks,1
in Teen & Young Adult European Historical Fiction'],1
in Teen & Young Adult Fantasy & Supernatural Mysteries & Thrillers,1
in Teen & Young Adult Fantasy & Supernatural Mystery eBooks,1
"in Teen & Young Adult Fantasy Action & Adventure', 'in Teen & Young Adult Sword & Sorcery Fantasy']",1
in Teen & Young Adult Fantasy eBooks,1
in Teen & Young Adult Fantasy Romance,1
in Teen & Young Adult Fiction about Being a Teen (Books),1
"in Teen & Young Adult Fiction about Being a Teen (Books)',",1
in Teen & Young Adult Fiction about Being a Teen (Kindle Store),1
"in Teen & Young Adult Fiction about Death', 'in Teen & Young Adult Fiction about Siblings']",1
in Teen & Young Adult Fiction about Family Issues,1
in Teen & Young Adult Fiction about Homelessness & Poverty (Books)'],1
in Teen & Young Adult Fiction about Homelessness & Poverty (Kindle Store),1
in Teen & Young Adult Fiction about Mental Illness,1
in Teen & Young Adult Fiction about New Experiences (Kindle Store)'],1
"in Teen & Young Adult Fiction about Self Esteem & Reliance',",1
in Teen & Young Adult Fiction on Bullying (Kindle Store),1
in Teen & Young Adult Fiction on Dating & Sex (Books),1
in Teen & Young Adult Fiction on Disabilities (Kindle Store),1
in Teen & Young Adult Fiction on Marriage & Divorce,1
in Teen & Young Adult Fiction on Marriage & Divorce Issues,1
in Teen & Young Adult Fiction on Orphans & Foster Homes (Books),1
in Teen & Young Adult Fiction on Physical & Emotional Abuse (Books),1
in Teen & Young Adult Fiction on Prejudice & Racism'],1
in Teen & Young Adult Fiction on Social & Family Violence (Books),1
in Teen & Young Adult Fiction on Social & Family Violence (Kindle Store),1
in Teen & Young Adult Film Fiction,1
in Teen & Young Adult Geography & Cultures Fiction eBooks,1
in Teen & Young Adult Historical Fiction,1
in Teen & Young Adult Historical Romance,1
in Teen & Young Adult History of Science,1
in Teen & Young Adult Holocaust History,1
in Teen & Young Adult Horror Comics & Graphic Novels,1
in Teen & Young Adult Humor Nonfiction eBooks,1
"in Teen & Young Adult Humorous Fiction', 'in Teen & Young Adult Wizards & Witches Fantasy']",1
in Teen & Young Adult Jewish Fiction,1
in Teen & Young Adult Law & Crime Stories,1
in Teen & Young Adult LGBTQ+ Comics & Graphic Novels,1
in Teen & Young Adult LGBTQ+ Fiction (Kindle Store),1
in Teen & Young Adult LGBTQ+ Romance,1
in Teen & Young Adult Literary Fiction,1
in Teen & Young Adult Literature & Fiction,1
in Teen & Young Adult Loners & Outcasts Fiction,1
in Teen & Young Adult Magical Realism eBooks,1
"in Teen & Young Adult Media Tie-In eBooks',",1
in Teen & Young Adult Medieval Historical Fiction,1
in Teen & Young Adult Mermaid Fiction,1
in Teen & Young Adult Military Historical Fiction eBooks,1
in Teen & Young Adult Military History,1
"in Teen & Young Adult Monster Fiction', 'in Teen & Young Adult LGBTQ+ Fiction (Books)']",1
in Teen & Young Adult Multigenerational Fiction,1
in Teen & Young Adult Olympics & Paralympics,1
in Teen & Young Adult Paranormal & Urban Fantasy,1
in Teen & Young Adult Paranormal Comics & Graphic Novels,1
in Teen & Young Adult Paranormal Romance,1
in Teen & Young Adult Performing Arts,1
in Teen & Young Adult Pirate Action & Adventure,1
in Teen & Young Adult Pirate Adventure eBooks,1
in Teen & Young Adult Poetry eBooks,1
in Teen & Young Adult Politics & Government Fiction eBooks,1
in Teen & Young Adult Religion & Spirituality eBooks,1
in Teen & Young Adult Religious Fiction eBooks,1
in Teen & Young Adult Romantic Comics & Graphic Novels,1
in Teen & Young Adult Romantic Mysteries & Thrillers,1
in Teen & Young Adult Romantic Mystery eBooks,1
"in Teen & Young Adult Royalty Fairy Tales & Folklore eBooks',",1
in Teen & Young Adult Science & Technology Biographies,1
in Teen & Young Adult Science & Technology Fiction eBooks,1
in Teen & Young Adult Science Fiction,1
in Teen & Young Adult Science Fiction & Fantasy Comics,1
in Teen & Young Adult Social & Family Issue Fiction,1
in Teen & Young Adult Social Issues eBooks,1
in Teen & Young Adult Space Opera,1
"in Teen & Young Adult Sports Fiction', 'in Teen & Young Adult Family Fiction']",1
in Teen & Young Adult Spy Story eBooks,1
in Teen & Young Adult Steampunk,1
"in Teen & Young Adult Steampunk eBooks', 'in Teen & Young Adult Spy Story eBooks']",1
in Teen & Young Adult Sword & Sorcery Fantasy eBooks,1
in Teen & Young Adult Sword & Sorcery Fantasy'],1
in Teen & Young Adult Theater Fiction,1
in Teen & Young Adult Thrillers & Suspense (Books),1
in Teen & Young Adult Time Travel eBooks,1
"in Teen & Young Adult TV, Movie, Video Game Adaptations",1
in Teen & Young Adult United States Civil War Period Historical Fiction,1
in Teen & Young Adult United States Colonial & Revolutionary Period Historical Fiction,1
in Teen & Young Adult US 20th Century Historical Fiction eBooks,1
in Teen & Young Adult Water Sports Fiction,1
in Teen & Young Adult Westerns,1
in Teen & Young Adult Wizards & Witches Fantasy eBooks,1
in Teen & Young Adult Women Biographies,1
in Teen & Young Adult Zombie Fiction,1
in The Beatles,1
"in The Beatles',",1
"in Transportation Engineering (Books)',",1
in Travel Writing Reference,1
in Twins & Multiples Parenting,1
in Two-Hour Literature & Fiction Short Reads,1
in Two-Hour Science Fiction & Fantasy Short Reads,1
in Wales Travel Guides,1
in Wine (Books),1
in Women's Biographies,1
in Young Adult Coming of Age Comics & Graphic Novels,1
in Young Adult Humorous Comics & Graphic Novels,1
s Action & Adventure Comics & Graphic Novels,1
s Mystery & Detective Comics & Graphic Novels,1
s Paranormal Comics & Graphic Novels,1
s Science Fiction Comics & Graphic Novels,1