Book,Counts
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,31
A ROVER'S STORY,8
A TALE OF MAGIC...,31
A TALE OF WITCHCRAFT...,17
A VELOCITY OF BEING,2
A WOLF CALLED WANDER,47
ADA TWIST AND THE PERILOUS PANTS,1
ALI CROSS,28
"ALI CROSS: LIKE FATHER, LIKE SON",12
ALIEN SUPERSTAR,1
ALLIES,5
AMAL UNBOUND,6
AMARI AND THE GREAT GAME,17
AMARI AND THE NIGHT BROTHERS,31
ARU SHAH AND THE END OF TIME,14
ARU SHAH AND THE SONG OF DEATH,14
AUGGIE & ME,80
BAD LUCK,1
BASEBALL GENIUS,1
BATTING ORDER,1
BEASTS AND BEAUTY,4
BECOMING MUHAMMAD ALI,16
BECOMING: ADAPTED FOR YOUNG READERS,13
BEST NERDS FOREVER,15
"BEVERLY, RIGHT HERE",6
BIG TREE,6
BILL NYE'S GREAT BIG WORLD OF SCIENCE,1
BLACK BALLERINAS,1
BLACK BOY JOY,7
BLENDED,20
BOOKED,6
BOYS WILL BE HUMAN,3
BRAVELANDS: CODE OF HONOR,1
BROKEN PRIDE,1
BROWN GIRL DREAMING,5
CALLING ALL MINDS,2
CAMP HALF-BLOOD CONFIDENTIAL,3
CHARLIE THORNE AND THE LAST EQUATION,1
CHARLIE THORNE AND THE LOST CITY,1
CIRCUS MIRANDUS,3
CITY OF GHOSTS,1
CITY SPIES,1
CLEAN GETAWAY,10
CRENSHAW,27
DAUGHTER OF THE DEEP,54
DEMIGODS AND MAGICIANS,13
DEMON DENTIST,3
DIARY OF AN AWESOME FRIENDLY KID,93
DOG DIARIES,20
DOG DIARIES HAPPY HOWLIDAYS,6
DOG MAN,52
DOG MAN UNLEASHED,35
DRAGON CAPTIVES,1
DRAGON PEARL,4
DRAGONWATCH,5
DRAGONWATCH: WRATH OF THE DRAGON KING,3
"DUDE PERFECT 101 TRICKS, TIPS, AND COOL STUFF",11
ECHO,2
ENDLING: THE FIRST,7
ENDLING: THE LAST,10
EPOCA: THE TREE OF ECROF,4
ESSENTIALLY CHARLI,1
FALL OF THE SCHOOL FOR GOOD AND EVIL,2
FAST BREAK,1
FINAL SEASON,1
FINALLY SEEN,5
FINDING HOME,1
FINISH THE FIGHT!,1
FISH IN A TREE,27
"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS BAKING BOOK",1
"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK",15
FOR MAGNUS CHASE: HOTEL VALHALLA GUIDE TO THE NORSE WORLDS,2
FRANCINE POULET MEETS THE GHOST RACCOON,1
FRAZZLED,1
FREEWATER,4
FURTHERMORE,1
FUZZY MUD,3
GAME OF STARS,1
GHOST,2
GHOST BOYS,5
GIRLS WHO CODE,1
GIRLS WHO CODE: THE FRIENDSHIP CODE,1
GLORY,1
GOLDEN GATE,2
GOOD NIGHT STORIES FOR REBEL GIRLS,44
GOOD NIGHT STORIES FOR REBEL GIRLS 2,1
GRAVITY FALLS: JOURNAL 3,48
GRENADE,1
GREYSTONE SECRETS #2: THE DECEIVERS,1
GROUND ZERO,57
"GROVER CLEVELAND, AGAIN!",3
HARBOR ME,3
"HELLO, UNIVERSE",23
HITLER'S LAST DAYS,5
HOME SWEET MOTEL,1
HOW DO YOU LIVE?,1
I AM MALALA,17
I AM THE WALRUS,1
I GOT THIS,2
I'M JUST NO GOOD AT RHYMING,2
ICEBERG,4
IF WE WERE GIANTS,6
IT'S NOT BRAGGING IF IT'S TRUE,1
IT'S TREVOR NOAH: BORN A CRIME,1
IT'S YOUR WORLD,5
JACK AND THE GENIUSES: AT THE BOTTOM OF THE WORLD,4
JACKY HA-HA,14
JACKY HA-HA: MY LIFE IS A JOKE,6
JOJO'S GUIDE TO THE SWEET LIFE,2
JURASSIC WORLD,1
KALEIDOSCOPE,1
KATT VS. DOGG,24
LAUGH OUT LOUD,10
LEGACY AND THE QUEEN,5
LINES OF COURAGE,1
LITTLE DREAMERS,3
LITTLE LEADERS,77
LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,39
LIVING THE CONFIDENCE CODE,1
LOOK BOTH WAYS,18
LOST IN A BOOK,17
LOUISIANA'S WAY HOME,15
"MAC B., KID SPY: MAC UNDERCOVER",9
"MAC B., KID SPY: THE IMPOSSIBLE CRIME",3
MAP OF FLAMES,1
MARCUS MAKES A MOVIE,2
MAX AND THE MIDKNIGHTS,16
MAX AND THE MIDKNIGHTS: BATTLE OF THE BODKINS,2
MAX EINSTEIN: REBELS WITH A CAUSE,5
MAX EINSTEIN: THE GENIUS EXPERIMENT,13
MERCI SUÁREZ CHANGES GEARS,7
MINECRAFT: THE CRASH,24
MINECRAFT: THE ISLAND,50
MOO,1
MR. LEMONCELLO'S LIBRARY OLYMPICS,13
MY LIFE AS AN ICE CREAM SANDWICH,2
NEVERMOOR: THE TRIALS OF MORRIGAN CROW,4
NEW FROM HERE,5
NIC BLAKE AND THE REMARKABLES,4
NORTHWIND,1
NOTORIOUS RBG: YOUNG READERS' EDITION,1
ODDER,34
ON AIR WITH ZOE WASHINGTON,4
ONCE THERE WAS,5
ONCE UPON A TIM,1
OTHER WORDS FOR HOME,1
OUT OF MY HEART,42
OUT OF WONDER,2
PATINA,1
PAX,59
"PAX, JOURNEY HOME",37
PERCY JACKSON'S GREEK HEROES,17
PONY,14
POPULARMMOS PRESENTS A HOLE NEW WORLD,11
POPULARMMOS PRESENTS ENTER THE MINE,13
POTTYMOUTH AND STOOPID,15
PROJECT MIDDLE SCHOOL,1
QUIET POWER,2
RACE TO THE SUN,1
RAD AMERICAN WOMEN A-Z,7
RAD WOMEN WORLDWIDE,1
RAYMIE NIGHTINGALE,9
REBOUND,6
RED,1
REFUGEE,220
RETURN TO THE ISLE OF THE LOST,18
RISE OF THE WOLF,1
RIVER,4
ROBOTS GO WILD,15
RONAN BOYLE AND THE BRIDGE OF RIDDLES,1
ROSIE REVERE AND THE RAUCOUS RIVETERS,1
ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE,32
RUMPLE BUTTERCUP,5
SEARCH FOR TREASURE,2
SERAFINA AND THE BLACK CLOAK,4
SERAFINA AND THE TWISTED STAFF,5
SHORT,1
SHOUTING AT THE RAIN,1
SKANDAR AND THE PHANTOM RIDER,2
SKANDAR AND THE UNICORN THIEF,22
SNOW & ROSE,1
SOME WRITER!,2
SPACED OUT,1
SQUIRM,1
STAMPED (FOR KIDS),11
STAR WARS: A TEST OF COURAGE,2
STAR WARS: THE FORCE AWAKENS,11
STAR WARS: THE HIGH REPUBLIC: QUEST FOR PLANET X,1
STAR WARS: THE HIGH REPUBLIC: RACE TO CRASHPOINT TOWER,1
START NOW!,3
STORIES FOR BOYS WHO DARE TO BE DIFFERENT,1
"STUNTBOY, IN THE MEANTIME",36
SUPER GOOD BAKING FOR KIDS,1
SUPERPOWERED,2
SURVIVORS CLUB,1
THE ANSWER,1
THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID,10
THE BEATRYCE PROPHECY,7
THE BELOVED WORLD OF SONIA SOTOMAYOR,1
THE BEST BEAR IN ALL THE WORLD,1
THE BOYS IN THE BOAT,4
THE CANDYMAKERS AND THE GREAT CHOCOLATE CHASE,1
THE CHRISTMAS PIG,22
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,54
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,153
THE CONFIDENCE CODE FOR GIRLS,29
THE COPPER GAUNTLET,3
THE CREATURE OF THE PINES,2
THE CROSSOVER,31
THE CURSED CARNIVAL AND OTHER CALAMITIES,9
THE DARK PROPHECY,38
THE DAY THE PRESIDENT WAS SHOT,3
THE DOOR OF NO RETURN,18
THE DRAGON'S RETURN,1
THE EYES AND THE IMPOSSIBLE,1
THE FIERCE 44,1
THE FIRE KEEPER,3
THE FORT,5
THE GAME MASTER: SUMMER SCHOOLED,8
THE GIRL WHO DRANK THE MOON,51
THE GOLDEN FROG GAMES,1
THE GUTSY GIRL,4
THE HAMMER OF THOR,17
THE HIDDEN ORACLE,48
THE HOCUS POCUS SPELL BOOK,9
THE HUMAN KABOOM,2
THE ICE CREAM MACHINE,2
THE ICKABOG,59
THE INQUISITOR'S TALE,1
THE ISLANDERS,1
THE ISLE OF THE LOST,31
THE KEEPER,1
THE LAND OF STORIES,1
THE LAST CUENTISTA,32
THE LAST KIDS ON EARTH AND THE ZOMBIE PARADE,5
THE LITTLEST BIGFOOT,1
THE MAGIC MISFITS,12
THE MAGIC MISFITS: THE SECOND STORY,4
THE MARVELLERS,11
THE MARVELS,14
THE MIDNIGHT CHILDREN,4
THE MISADVENTURES OF MAX CRUMBLY: LOCKER HERO,22
THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM,15
THE OFFICIAL HARRY POTTER BAKING BOOK,20
THE OGRESS AND THE ORPHANS,3
THE ONE AND ONLY BOB,75
THE PLAYBOOK,2
THE PRINCESS IN BLACK AND THE PERFECT PRINCESS PARTY,7
THE PURLOINING OF PRINCE OLEOMARGARINE,8
THE RHYTHM OF TIME,1
THE SECRET KEEPERS,7
THE SILVER ARROW,2
THE SISTER SWITCH,1
THE STARS DID WANDER DARKLING,2
THE STORM RUNNER,1
THE STORY OF DIVA AND FLEA,11
THE SUN AND THE STAR,2
THE SWIFTS,8
THE SWORD OF SUMMER,53
THE TERRIBLE TWO,5
THE TERRIBLE TWO GET WORSE,11
THE THING ABOUT JELLYFISH,3
THE UNBREAKABLE CODE,1
THE UNWANTEDS QUESTS: DRAGON BONES,1
THE VANDERBEEKERS AND THE HIDDEN GARDEN,1
THE WAR I FINALLY WON,4
THE WAR THAT SAVED MY LIFE,4
THE WILD ROBOT,57
THE WILD ROBOT ESCAPES,10
THE WINDEBY PUZZLE,1
THE WIZARDS OF ONCE,1
THE WIZENARD SERIES: SEASON ONE,3
THE WIZENARD: TRAINING CAMP,8
THIRST,1
THIS IS YOUR TIME,4
THREE KEYS,1
TRISTAN STRONG DESTROYS THE WORLD,1
TRISTAN STRONG PUNCHES A HOLE IN THE SKY,14
TROUBLEMAKER,1
TUNNEL OF BONES,1
TWO DEGREES,30
UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY,2
"UNSTOPPABLE US, VOL. 1",5
WARRIORS: A STARLESS CLAN: SKY,4
WARRIORS: THE BROKEN CODE: LOST STARS,3
WARRIORS: THE BROKEN CODE: THE SILENT THAW,1
WE ARE FAMILY,8
WELCOME TO SMELLVILLE,1
WHEN THE SEA TURNED TO SILVER,2
WHEN YOU TRAP A TIGER,15
WILD RESCUERS: ESCAPE TO THE MESA,1
WILD RESCUERS: GUARDIANS OF THE TAIGA,1
WILLA OF DARK HOLLOW,1
WILLA OF THE WOOD,5
WILLODEEN,10
WINGS OF FIRE: LEGENDS: DRAGONSLAYER,26
WISHTREE,93
WITCHLINGS,5
WOLF HOLLOW,1
WOLFPACK,1
WOMEN IN SCIENCE,94
WONDER,396
WORD OF MOUSE,15
WOW IN THE WORLD,5
WUNDERSMITH: THE CALLING OF MORRIGAN CROW,1
YOU GO FIRST,1
ZACHARY YING AND THE DRAGON EMPEROR,3